Participant,Parent Node,Child Node 1,Child Node 2,Quotes,Summary of Child Node 1,Summary of Child Node 2
KII_P2,Heat Sensitivity,Female,,"Of course, women are more vulnerable, since they stay home. Then there are children and the elderly, who are the most vulnerable in our society. The key point is that the group who does not earn and is dependent on others is always the most vulnerable. This vulnerability is determined by the economic aspect. The person who has money in the household, the person who earns, and the one who doesn’t—these situations differ greatly. So, I believe if we both earn, we can share the responsibility of cooking. The vulnerability is shared between us. But it’s hard to generalize that one person will bring their earnings and give them to the other. It’s complicated.",,
KII_P3,Heat Sensitivity,Female,,"are there any other groups at higher health risks due to rising temperatures? Children and women. Children and women? Yes, they are the most vulnerable groups.",,
FGD7_P9,Adaptive capacity,Food Habit,,"Most of all, sago is good because it cools the body.","Food items such as soaked rice (panta vaat), sago grains, and vegetables with high water content, like papaya, bottle gourd, and sweet pumpkin are commonly consumed to help regulate body temperature. These foods help keep the body cool, mind calmer and sleep better at night. Most participants said that they particularly include this type of diet during the summer.",
"FGD7_P1,P3,P7",Adaptive capacity,Food Habit,,"Sago grains. People here don’t eat sago much. Porridge and fermented rice are eaten more. People eat soaked flattened rice too. They eat rice porridge, soaked flattened rice with bananas—those kinds of things.",,
FGD7_P2,Adaptive capacity,Food Habit,,"Yes, we eat cooling vegetables like papaya, bottle gourd, and sweet pumpkin.",,
FGD8_P1,Adaptive capacity,Food Habit,,but we eat more soaked rice (panta bhat). It feels a bit cooling,,
FGD-8_P1,Adaptive capacity,Food Habit,,but we eat more soaked rice (panta bhat). It feels a bit cooling,,
FGD-8_P2,Adaptive capacity,Food Habit,,"Yes, we eat cooling vegetables like papaya, bottle gourd, and sweet pumpkin.",,
FGD8_P3,Adaptive capacity,Food Habit,,It helps you sleep better.,,
FGD-8_P3,Adaptive capacity,Food Habit,,It helps you sleep better.,,
FGD8_P6,Adaptive capacity,Food Habit,,eating soaked rice helps with restlessness—it feels cooler.,,
FGD-8_P6,Adaptive capacity,Food Habit,,eating soaked rice helps with restlessness—it feels cooler.,,
"FGD3_P2,P1,P6",Heat Exposure,Household Cooking,,"Cylinders. R: Cylinders. Is there a lot of cooking done using firewood stoves? P6: Yes, most of it. P2: About 90%, I’d say.",,
"FGD3_P9,P2",Heat Exposure,Household Cooking,,"Time spent under direct sunlight. The heat is different in two ways. One is from cooking with fire, and the other is from the sun. But here, the heat from the sun is more intense. When the fire is burning more, that heat is bearable. But otherwise, the sun’s heat is what causes the problem here. The heat here is natural, like it is in our country.",,
FGD-6_P3,Heat Exposure,Household Cooking,,"“When exposed to the heat from cooking, even working for a short while can make someone feel out of breath.”",,
FGD7_P10,Heat Exposure,Household Cooking,,It gets unbearable during cooking.,,
FGD7_P3,Heat Exposure,Household Cooking,,It’s much worse then.,,
FGD7_P9,Heat Exposure,Household Cooking,,"The sweat doesn’t stop, and you feel hotter than usual.",,
FGD2_P7, Heat Exposure,Household Exposure,,"Yes, airflow works.",,
FGD2_P1,heat exposure,Household Exposure,,It gets really hot inside the room on the roof during the day.,,
FGD-4_P3,Heat Exposure,Household Exposure,," “Mostly, women stay at home, so they feel the heat more.”",,
FGD-8_P4,Heat Exposure,Household Exposure,,"Compared to regular houses, tin-shed houses are much hotter. When I go to tutor students in a tin house, I feel like I can’t bear it for even an hour—it’s that hard. I think tin-shed houses are much more difficult to endure than regular houses.",,
FGD-8_P6,Heat Exposure,Household Exposure,,"Tin heats up quickly, I mean, the heat is intense.",,
FGD-9_P4,Heat Exposure,Household Exposure,,"I told you earlier, the heat and sunlight make it unbearable to sit in certain rooms. Even with fans, the heat feels stronger.",,
FGD2_P6,Other Recommendations,Individual responsibilities,,"For example, someone in front of me suddenly fainted due to discomfort caused by the heat.",,
FGD2_P7,Other Recommendations,Individual responsibilities,,"Whoever is around will help, regardless of whether they know the person or not.",,
FGD2_P7,Other Recommendations,Individual responsibilities,,"It’s everyone’s responsibility, whether they know the person or not. I believe everyone has the same responsibility.",,
FGD-4,Other Recommendations,Individual Responsibility,," “Listen, if they cut these trees now, considering the current situation, in 20 years, the city will turn into a desert. We need to plant a lot of trees, on the roads, in empty spaces—there should be extensive tree planting everywhere. The weather has changed a lot compared to before.”",,
FGD-6,Other Recommendations,Individual Responsibility,,"“From our side, we’re willing to provide as much support as needed.”",,
KII_P6,Heat Exposure,Indoor Heat,,"Indoor heat, yes. Indoor means just an environment, how heat is impacting the indoor environment.",,
"FGD3_P1,P2,P3",Heat Exposure,Indoor Ventilation,,"Yes, it’s blocked. The air doesn’t circulate freely? No, no. If we open the windows, the air comes in and flows out. So it flows out from the other side. This is called cross ventilation, where the air enters from one side and exits through the other. Is that available in your homes? ",,
